연번,공원명,지역,공원주소,lon,lat
1,남산공원,중구,서울특별시 중구 삼일대로 231(예장동),126.9903773,37.5501402
2,길동생태공원,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,127.1547791,37.5403935
3,서울대공원,과천시,경기도 과천시 대공원광장로 102,127.0198465,37.4264494
4,서울숲,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,127.0417982,37.5430717
5,월드컵공원,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),126.878907,37.571805
6,광화문시민열린마당,종로구,서울특별시 종로구 세종로 76-2,126.9780227,37.5750449
7,진관근린공원(구파발폭포),은평구,서울특별시 은평구 진관동 393,126.9192155,37.6370244
8,중마루근린공원,영등포구,서울특별시 영등포구 영등포동2가 222,126.9112668,37.519832
9,응봉공원 (대현산배수지공원),성동구,서울특별시 성동구 금호동1가 산1-72,127.0217653,37.5572281
10,매화근린공원,강서구,서울특별시 강서구 등촌동 630-14,126.86115,37.5575833
11,성수근린공원,성동구,서울특별시 성동구 성수2가 3동 302-25,127.0524023,37.5448144
12,샛마을근린공원,강동구,서울특별시 강동구 명일1동 288,127.1471618,37.5504807
13,여의도근린공원,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),126.922377,37.526129
14,간데메근린공원,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),127.0488644,37.5732438
15,훈련원근린공원,중구,서울특별시 중구 을지로 227,127.0038188,37.5675245
16,영등포근린공원,영등포구,서울특별시 영등포구 신길로 275,126.910662,37.515423
17,보라매근린공원,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),126.918289,37.492333
18,어린이대공원,광진구,서울특별시 광진구 능동로 216(서울어린이대공원),127.0809212,37.5498987
19,천호근린공원,강동구,서울특별시 강동구 올림픽로 702(천호공원),127.1263451,37.5444741
20,용산가족공원,용산구,서울특별시 용산구 서빙고로 185,126.983335,37.522226
21,독립근린공원,서대문구,서울특별시 서대문구 통일로251(독립공원),126.956771,37.5738289
22,낙산근린공원,종로구,서울특별시 종로구 낙산길 41 (우) 03085,127.007587,37.580477
23,매헌시민의숲,서초구,서울특별시 서초구 매헌로 99 (양재동),127.035042,37.471225
24,관악산공원,관악구,서울특별시 관악구 관악로 1(관악산공원),126.96413,37.445208
25,효창근린공원,용산구,서울특별시 용산구 효창원로 177-18,126.95993,37.545234
26,감로천생태공원(관악산),금천구,서울특별시 금천구 독산4동 371?375 373일대,126.9079509,37.469625
27,개운산근린공원,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),127.0252858,37.5965837
28,개웅산근린공원,구로구,서울특별시 구로구 오류동 산13-1,126.8485734,37.4888943
29,경희궁,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),126.9685341,37.570773
30,국립서울현충원,동작구,서울특별시 동작구 사당2동 산41-2,126.9736849,37.4998621
31,계남근린공원,양천구,서울특별시 양천구 신정동 산44-2일대,126.8479643,37.5138358
32,고척근린공원,구로구,서울특별시 구로구 고척로45길 39(고척공원),126.8521495,37.5042944
33,파리근린공원,양천구,서울특별시 양천구 목동동로 363 ,126.8763932,37.5349739
34,허준공원,강서구,서울특별시 강서구 허준로5길 42,126.8526745,37.5679874
35,궁동근린공원,서대문구,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,126.9229851,37.5690506
36,궁산근린공원,강서구,서울특별시 강서구 가양동 산4-7,126.838952,37.5735645
37,까치산근린공원,동작구,서울특별시 동작구 사당동 산32,126.9640735,37.4845836
38,꿩고개근린공원,강서구,서울특별시 강서구 방화동 산110,126.8157075,37.5801585
